started,ended,target
2024-01-04T12:00:00Z,2024-01-04T12:45:00Z,26.000000
2024-01-04T13:00:00Z,2024-01-04T13:45:00Z,26.500000
2024-01-04T14:00:00Z,2024-01-04T14:45:00Z,27.000000
2024-01-04T15:00:00Z,2024-01-04T15:45:00Z,27.500000
2024-01-04T16:00:00Z,2024-01-04T16:45:00Z,28.000000
2024-01-04T17:00:00Z,2024-01-04T17:45:00Z,28.500000
2024-01-04T18:00:00Z,2024-01-04T18:45:00Z,29.000000
2024-01-04T19:00:00Z,2024-01-04T19:45:00Z,29.500000
2024-01-04T20:00:00Z,2024-01-04T20:45:00Z,30.000000
2024-01-04T21:00:00Z,2024-01-04T21:45:00Z,30.500000
2024-01-04T22:00:00Z,2024-01-04T22:45:00Z,31.000000
2024-01-04T23:00:00Z,2024-01-04T23:45:00Z,31.500000
2024-01-05T00:00:00Z,2024-01-05T00:45:00Z,20.000000
2024-01-05T01:00:00Z,2024-01-05T01:45:00Z,20.500000
2024-01-05T02:00:00Z,2024-01-05T02:45:00Z,21.000000
2024-01-05T03:00:00Z,2024-01-05T03:45:00Z,21.500000
2024-01-05T04:00:00Z,2024-01-05T04:45:00Z,22.000000
2024-01-05T05:00:00Z,2024-01-05T05:45:00Z,22.500000
2024-01-05T06:00:00Z,2024-01-05T06:45:00Z,23.000000
2024-01-05T07:00:00Z,2024-01-05T07:45:00Z,23.500000
2024-01-05T08:00:00Z,2024-01-05T08:45:00Z,24.000000
2024-01-05T09:00:00Z,2024-01-05T09:45:00Z,24.500000
2024-01-05T10:00:00Z,2024-01-05T10:45:00Z,25.000000
2024-01-05T11:00:00Z,2024-01-05T11:45:00Z,25.500000
2024-01-05T12:00:00Z,2024-01-05T12:45:00Z,26.000000
2024-01-05T13:00:00Z,2024-01-05T13:45:00Z,26.500000
2024-01-05T14:00:00Z,2024-01-05T14:45:00Z,27.000000
2024-01-05T15:00:00Z,2024-01-05T15:45:00Z,27.500000
